                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.164,                 4.4527,                 1.3227,                0.24469,                0.20247,                0.14652,                 0.1243,                0.64735,                 3.4358,                0.89873,             0.00019369,             0.00019369,             0.00019369
                      2,                0.79139,                 2.9192,                0.97976,                0.40562,                 0.4999,                0.46925,                0.39869,                0.62019,                 2.5776,                0.88986,             0.00035111,             0.00035111,             0.00035111
                      3,                0.75936,                 2.2385,                0.96699,                0.51322,                0.67388,                0.67301,                0.57485,                0.60901,                  1.952,                0.89459,             0.00046973,             0.00046973,             0.00046973
                      4,                0.76368,                  1.826,                0.95966,                0.77367,                 0.8215,                 0.8671,                0.74708,                0.57532,                 1.5142,                 0.8818,             0.00041336,             0.00041336,             0.00041336
                      5,                0.72436,                 1.4719,                0.95882,                0.87081,                0.92251,                0.95461,                0.82245,                0.59869,                 1.2795,                0.88582,             0.00035515,             0.00035515,             0.00035515
                      6,                0.71628,                 1.2829,                 0.9452,                0.90886,                0.91007,                  0.958,                0.84831,                0.52733,                 1.1187,                 0.8622,             0.00029694,             0.00029694,             0.00029694
                      7,                0.68411,                 1.1245,                0.93533,                0.90746,                0.94314,                0.95789,                0.85634,                0.50913,                 1.0066,                0.85807,             0.00023873,             0.00023873,             0.00023873
                      8,                 0.6747,                 1.0214,                0.92033,                0.90907,                0.94839,                0.97045,                0.87651,                0.49196,                0.92293,                 0.8512,             0.00018052,             0.00018052,             0.00018052
                      9,                0.64254,                0.95478,                0.91394,                0.91693,                0.94897,                0.96474,                0.87046,                0.49362,                0.87999,                0.84905,              0.0001223,              0.0001223,              0.0001223
                     10,                0.62769,                0.88104,                0.89813,                0.90909,                0.95665,                 0.9661,                0.87897,                0.46861,                0.83921,                 0.8417,             6.4092e-05,             6.4092e-05,             6.4092e-05
